date,tau,m,IV
2023-01-03,0.0273972602739726,-0.5108256237659907,0.4308356248027585
2023-01-03,0.0273972602739726,-0.2231435513142097,0.32080129690375964
2023-01-03,0.0273972602739726,-0.10536051565782628,0.3124007249883944
2023-01-03,0.0273972602739726,-0.05129329438755058,0.3156750086279385
2023-01-03,0.0273972602739726,-0.025317807984289897,0.318843658172831
2023-01-03,0.0273972602739726,0.0,0.32292868211232434
2023-01-03,0.0273972602739726,0.024692612590371414,0.3278605128827515
2023-01-03,0.0273972602739726,0.04879016416943205,0.333575770530499
2023-01-03,0.0273972602739726,0.09531017980432493,0.34713008859187044
2023-01-03,0.0273972602739726,0.1823215567939546,0.3813986858940531
2023-01-03,0.0273972602739726,0.26236426446749106,0.4231843128648378
2023-01-03,0.0273972602739726,0.4054651081081644,0.5223943029090286
2023-01-03,0.0273972602739726,0.5596157879354227,0.6644295171553728
2023-01-03,0.0273972602739726,0.6931471805599453,0.816946272714746
2023-01-03,0.0821917808219178,-0.5108256237659907,0.4198646717981589
2023-01-03,0.0821917808219178,-0.2231435513142097,0.31027983600076303
2023-01-03,0.0821917808219178,-0.10536051565782628,0.3020632955190536
2023-01-03,0.0821917808219178,-0.05129329438755058,0.3054220570988096
2023-01-03,0.0821917808219178,-0.025317807984289897,0.30863129233565734
2023-01-03,0.0821917808219178,0.0,0.31275587437003594
2023-01-03,0.0821917808219178,0.024692612590371414,0.3177262863917476
2023-01-03,0.0821917808219178,0.04879016416943205,0.32347919553098525
2023-01-03,0.0821917808219178,0.09531017980432493,0.33710619931592684
2023-01-03,0.0821917808219178,0.1823215567939546,0.3715107485263154
2023-01-03,0.0821917808219178,0.26236426446749106,0.4134214391292672
2023-01-03,0.0821917808219178,0.4054651081081644,0.5128550187019989
2023-01-03,0.0821917808219178,0.5596157879354227,0.6551310874181703
2023-01-03,0.0821917808219178,0.6931471805599453,0.8078564806093196
2023-01-03,0.1643835616438356,-0.5108256237659907,0.40399470433562884
2023-01-03,0.1643835616438356,-0.2231435513142097,0.2950841066906376
2023-01-03,0.1643835616438356,-0.10536051565782628,0.28714361335941185
2023-01-03,0.1643835616438356,-0.05129329438755058,0.2906290918494857
2023-01-03,0.1643835616438356,-0.025317807984289897,0.29389920562426625
2023-01-03,0.1643835616438356,0.0,0.2980831248009728
2023-01-03,0.1643835616438356,0.024692612590371414,0.30311140869961123
2023-01-03,0.1643835616438356,0.04879016416943205,0.30892079507608394
2023-01-03,0.1643835616438356,0.09531017980432493,0.32265682744638086
2023-01-03,0.1643835616438356,0.1823215567939546,0.3572653045190783
2023-01-03,0.1643835616438356,0.26236426446749106,0.3993635905702807
2023-01-03,0.1643835616438356,0.4054651081081644,0.4991325544358241
2023-01-03,0.1643835616438356,0.5596157879354227,0.6417699048567358
2023-01-03,0.1643835616438356,0.6931471805599453,0.7948082544955493
